registry_stone_id,uncertainty_class,grid_id,grid_area_pct
89657,5,2469692,1
89657,5,2469693,1
89657,5,2471824,1
89657,5,2471825,1
89788,5,2697898,1
90143,5,2446249,1
90143,5,2459039,1
90143,5,2461169,1
90143,5,2461170,1
90143,5,2461171,1
90143,5,2463297,1
90143,5,2463298,1
90143,5,2463299,1
90143,5,2463301,1
90143,5,2463303,1
90143,5,2465429,1
90143,5,2465430,1
90143,5,2465431,1
90143,5,2465432,1
90143,5,2465433,1
90143,5,2465434,1
90143,5,2465435,1
90143,5,2467563,1
90143,5,2467564,1
90143,5,2467565,1
90143,5,2467566,1
90143,5,2467567,1
90143,5,2469695,1
90143,5,2469696,1
90143,5,2469697,1
90143,5,2469698,1
90143,5,2469699,1
90143,5,2471821,1
90143,5,2471822,1
90143,5,2471827,1
90143,5,2471828,1
90143,5,2471829,1
90143,5,2471830,1
90143,5,2471831,1
90251,5,2403605,1
90903,5,2422778,1
90903,5,2424910,1
90903,5,2427042,1
90903,5,2429174,1
90903,5,2431306,1
90903,5,2431307,1
90950,5,2149888,1
90950,5,2149889,1
90950,5,2149890,1
91521,5,2363112,1
91521,5,2365244,1
91521,5,2367377,1
91735,5,2109383,1
91735,5,2109384,1
91735,5,2111514,1
91735,5,2111515,1
91735,5,2111516,1
91735,5,2111517,1
91735,5,2113647,1
91735,5,2113648,1
91735,5,2113649,1
91807,5,2427060,1
91807,5,2427061,1
91935,5,2465577,1
92261,5,2384417,1
92261,5,2384418,1
92261,5,2386548,1
92261,5,2386549,1
92261,5,2386550,1
92261,5,2386551,1
92261,5,2386552,1
92261,5,2388680,1
92261,5,2388681,1
92261,5,2388682,1
92261,5,2388683,1
92261,5,2388684,1
92261,5,2388685,1
92261,5,2390812,1
92261,5,2390813,1
92261,5,2390814,1
92261,5,2390815,1
92261,5,2390816,1
92261,5,2390817,1
92261,5,2392944,1
92261,5,2392945,1
92261,5,2392946,1
92261,5,2392947,1
92261,5,2392948,1
92261,5,2392949,1
92261,5,2395075,1
92261,5,2395076,1
92261,5,2395077,1
92261,5,2395078,1
92261,5,2397207,1
92261,5,2397208,1
92261,5,2397209,1
92261,5,2397210,1
92261,5,2399339,1
92261,5,2399341,1
92261,5,2405734,1
92261,5,2405735,1
92261,5,2407866,1
92261,5,2407867,1
92261,5,2407872,1
