registry_stone_id,grid_id,uncertainty_class
72868,2480426,5
72868,2480427,5
72868,2480428,5
72868,2480429,5
72868,2480430,5
72868,2482559,5
72868,2482560,5
72868,2482561,5
72868,2484692,5
72868,2484693,5
73016,2378024,5
73016,2378025,5
73016,2378026,5
73016,2380156,5
73016,2380157,5
73016,2380158,5
73016,2382288,5
73016,2382289,5
73016,2382290,5
73016,2384422,5
73097,2343913,5
73097,2343914,5
73097,2343915,5
73097,2343916,5
73097,2343917,5
73097,2343918,5
73097,2346045,5
73097,2346046,5
73097,2346047,5
73097,2346048,5
73097,2346049,5
73097,2346050,5
73097,2348177,5
73097,2348178,5
73097,2348179,5
73097,2348180,5
73097,2348181,5
73097,2348182,5
73097,2348183,5
73097,2350309,5
73097,2350310,5
