cell_id,value
2305523,0
2305524,0
2305525,0
2305526,0
2305527,0
2305528,0
2305529,0
2305530,0
2305531,0
2305532,0
2305533,0
2305534,0
2305535,0
2305536,0
2305537,0
2305538,0
2305539,0
2305540,0
2305541,0
2305542,0
2305543,0
2305544,0
2305545,0
2305546,0
2305547,0
2305548,0
2305549,0
2305550,0
2305551,0
2305552,0
2305553,0
2305554,0
2305555,0
2305556,0
2305557,0
2307576,0
2307577,0
2307578,0
2307579,0
2307580,0
2307581,0
2307582,0
2307583,0
2307584,0
2307585,0
2307586,0
2307587,0
2307588,0
2307589,0
2307590,0
2307591,0
2307592,0
2307593,0
2307594,0
2307595,0
2307596,0
2307597,0
2307598,0
2307599,0
2307600,0
2307601,0
2307602,0
2307603,0
2307604,0
2307605,0
2307606,0
2307607,0
2307608,0
2307609,0
2307610,0
2307611,0.32738304138183594
2307612,0.32738304138183594
2307613,0.32738304138183594
2307614,0
2307615,0
2307616,0
2307617,0
2307618,0
2307619,0
2307620,0
2307621,0
2307622,0
2307623,0
2307624,0
2307625,0
2307626,0
2307627,0
2307628,0
2307629,0
2307630,0
2307631,0
2307632,0
2307633,0
2307634,0
2307635,0
2307636,0
2307637,0.9465093612670898
2307638,0.9743061065673828
2307639,1.0257596969604492
2307640,1.050440788269043
2307641,1.0754032135009766
2307642,0.7682046890258789
2307643,0
2307644,0
2307645,0
2307646,0
2307647,0
2307648,0
2307649,0
2307650,0
2307651,0
2307652,0
2307653,0
2307654,0
2307655,0
2307656,0
2307657,0
2307658,0
2307659,0
2307660,0
2307661,0
2307662,0
2307663,0
2307664,0
2307665,0
2307666,0
2307667,0
2307668,0
2307669,0
2307670,0
2307671,0
2307672,0
2307673,0
2307674,0
2307675,0
2307676,0
2307677,0
2307678,0
2307679,0
2307680,0
2307681,0
2307682,0
2307683,0
2307684,0
2307685,0
2307686,0
2307687,0
2307688,0
2307689,0
2307709,2.480604887008667
2307710,2.548415184020996
2309708,0
2309709,0
2309710,0
2309711,0
2309712,0
2309713,0
2309714,0
2309715,0
2309716,0
2309717,0
2309718,0
2309719,0
2309720,0
2309721,0
2309722,0
2309723,0
2309724,0
2309725,0
2309726,0
2309727,0
2309728,0
2309729,0
2309730,0
2309731,0
2309732,0
2309733,0
2309734,0
2309735,0
2309736,0
2309737,0
2309738,0
2309739,0
2309740,0
2309741,0
2309742,0
2309743,0.32738304138183594
2309744,0.32738304138183594
2309745,0.32738304138183594
2309746,0.32738304138183594
2309747,0
2309748,0
2309749,0
2309750,0
2309751,0
2309752,0
2309753,0
2309754,0
2309755,0
2309756,0
2309757,0
2309758,0
2309759,0
2309760,0
2309761,0
2309762,0
2309763,0
2309764,0
2309765,0
2309766,0
2309767,0
2309768,0.905879020690918
2309769,0.9297266006469727
2309770,0.9567766189575195
2309771,1.0088872909545898
2309772,1.0343694686889648
2309773,1.0583505630493164
2309774,0
2309775,0
2309776,0
2309777,0
2309778,0
2309779,0
2309780,0
2309781,0
2309782,0
2309783,0
2309784,0
2309785,0
2309786,0
2309787,0
2309788,0
2309789,0
2309790,0
2309791,0
2309792,0
2309793,0
2309794,0
2309795,0
2309796,0
2309797,0
2309798,0
2309799,0
2309800,0
2309801,0
2309802,0
2309803,0
2309804,0
2309805,0
2309806,0
2309807,0
2309808,0
2309809,0
2309810,0
2309811,0
2309812,0
2309813,0
2309814,0
2309815,0
2309816,0
2309817,0
2309818,0
2309819,0
2309820,0
2309821,0
2309841,2.569912910461426
2309842,2.3192384243011475
2311840,0
2311841,0
2311842,0
2311843,0
2311844,0
2311845,0
2311846,0
2311847,0
2311848,0
2311849,0
2311850,0
2311851,0
2311852,0
2311853,0
2311854,0
2311855,0
2311856,0
2311857,0
2311858,0
2311859,0
2311860,0
2311861,0
2311862,0
2311863,0
2311864,0
2311865,0
2311866,0
2311867,0
2311868,0
2311869,0
2311870,0
2311871,0
2311872,0
2311873,0
2311874,0.32738304138183594
2311875,0.32738304138183594
2311876,0.32738304138183594
2311877,0.32738304138183594
2311878,0.32738304138183594
2311879,0
2311880,0
2311881,0
2311882,0
2311883,0
2311884,0
2311885,0
2311886,0
2311887,0
2311888,0
2311889,0
2311890,0
2311891,0
2311892,0
2311893,0
2311894,0
2311895,0
2311896,0
2311897,0
2311898,0
2311899,0.839902400970459
2311900,0.8894777297973633
2311901,0.913754940032959
2311902,0.9382028579711914
2311903,0.9649338722229004
2311904,1.01739501953125
2311905,0.9055790901184082
2311906,0
2311907,0
2311908,0
2311909,0
2311910,0
2311911,0
2311912,0
2311913,0
2311914,0
2311915,0
2311916,0
2311917,0
2311918,0
2311919,0
2311920,0
2311921,0
2311922,0
2311923,0
2311924,0
2311925,0
2311926,0
2311927,0
2311928,0
2311929,0
2311930,0
2311931,0
2311932,0
2311933,0
2311934,0
2311935,0
2311936,0
2311937,0
2311938,0
2311939,0
2311940,0
2311941,0
2311942,0
2311943,0
2311944,0
2311945,0
2311946,0
2311947,0
2311948,0
2311949,0
2311950,0
2311951,0
2311952,0
2311953,0
2311954,1.5753860473632813
2311962,2.6486215591430664
2311963,2.6481618881225586
2311964,2.646608352661133
2311965,2.6448869705200195
2313972,0
2313973,0
2313974,0
2313975,0
2313976,0
2313977,0
2313978,0
2313979,0
2313980,0
2313981,0
2313982,0
2313983,0
2313984,0
2313985,0
2313986,0
2313987,0
2313988,0
2313989,0
2313990,0
2313991,0
2313992,0
2313993,0
2313994,0
2313995,0
2313996,0
2313997,0
2313998,0
2313999,0
2314000,0
2314001,0
2314002,0
2314003,0
2314004,0.32738304138183594
2314005,0.32738304138183594
2314006,0.32738304138183594
2314007,0.32738304138183594
2314008,0.32738304138183594
2314009,0.32738304138183594
2314010,0
2314011,0
2314012,0
2314013,0
2314014,0
2314015,0
2314016,0
2314017,0
2314018,0
2314019,0
2314020,0
2314021,0
2314022,0
2314023,0
2314024,0
2314025,0
2314026,0
2314027,0
2314028,0
2314029,0
2314030,0
2314031,0.8195633888244629
2314032,0.8686308860778809
2314033,0.9026427268981934
2314034,0.918947696685791
2314035,0.9457077980041504
2314036,0.9723639488220215
2314037,0
2314038,0
2314039,0
2314040,0
2314041,0
2314042,0
2314043,0
2314044,0
2314045,0
2314046,0
2314047,0
2314048,0
2314049,0
2314050,0
2314051,0
2314052,0
2314053,0
2314054,0
2314055,0
2314056,0
2314057,0
2314058,0
2314059,0
2314060,0
2314061,0
2314062,0
2314063,0
2314064,0
2314065,0
2314066,0
2314067,0
2314068,0
2314069,0
2314070,0
2314071,0
2314072,0
2314073,0
2314074,0
2314075,0
2314076,0
2314077,0
2314078,0
2314079,0
2314080,0
2314081,0
2314082,0
2314083,0
2314084,0
2314085,0
2316104,0
2316105,0
2316106,0
2316107,0
2316108,0
2316109,0
2316110,0
2316111,0
2316112,0
2316113,0
2316114,0
2316115,0
2316116,0
2316117,0
2316118,0
2316119,0
2316120,0
2316121,0
2316122,0
2316123,0
2316124,0
2316125,0
2316126,0
2316127,0
2316128,0
2316129,0
2316130,0
2316131,0
2316132,0
2316133,0
2316134,0.32738304138183594
2316135,0.32738304138183594
2316136,0.32738304138183594
2316137,0.32738304138183594
2316138,0.32738304138183594
2316139,0.32738304138183594
2316140,0.32738304138183594
2316141,0.32738304138183594
2316142,0
2316143,0
2316144,0
2316145,0
2316146,0
2316147,0
2316148,0
2316149,0
2316150,0
2316151,0
2316152,0
2316153,0
2316154,0
2316155,0
2316156,0
2316157,0
2316158,0
2316159,0
2316160,0
2316161,0
2316162,0
2316163,0.7764387130737305
2316164,0.842125415802002
2316165,0.8701109886169434
2316166,0.9003849029541016
2316167,0.9257106781005859
2316168,0.9533786773681641
2316169,0.9801516532897949
2316170,0
2316171,0
2316172,0
2316173,0
2316174,0
2316175,0
2316176,0
2316177,0
2316178,0
2316179,0
2316180,0
2316181,0
2316182,0
2316183,0
2316184,0
2316185,0
2316186,0
2316187,0
2316188,0
2316189,0
2316190,0
2316191,0
2316192,0
2316193,0
2316194,0
2316195,0
2316196,0
2316197,0
2316198,0
2316199,0
2316200,0
2316201,0
2316202,0
2316203,0
2316204,0
2316205,0
2316206,0
2316207,0
2316208,0
2316209,0
2316210,0
2316211,0
2316212,0
2316213,0
2316214,0
2316215,0
2316216,0
2316217,0
2318236,0
2318237,0
2318238,0
2318239,0
2318240,0
2318241,0
2318242,0
2318243,0
2318244,0
2318245,0
2318246,0
2318247,0
2318248,0
2318249,0
2318250,0
2318251,0
2318252,0
2318253,0
2318254,0
2318255,0
2318256,0
2318257,0
2318258,0
2318259,0
2318260,0
2318261,0
2318262,0
2318263,0
2318264,0.32738304138183594
2318265,0.32738304138183594
2318266,0.32738304138183594
2318267,0.32738304138183594
2318268,0.32738304138183594
2318269,0.32738304138183594
2318270,0.32738304138183594
2318271,0.32738304138183594
2318272,0.32738304138183594
2318273,0
2318274,0
2318275,0
2318276,0
2318277,0
2318278,0
2318279,0
2318280,0
2318281,0
2318282,0
2318283,0
2318284,0
2318285,0
2318286,0
2318287,0
2318288,0
2318289,0
2318290,0
2318291,0
2318292,0
2318293,0
2318294,0
2318295,0.7764387130737305
2318296,0.842125415802002
2318297,0.8563604354858398
2318298,0.9026641845703125
2318299,0.92952728271484375
2318300,0.9397077560424805
2318301,0.9614396095275879
2318302,0
2318303,0
2318304,0
2318305,0
2318306,0
2318307,0
2318308,0
2318309,0
2318310,0
2318311,0
2318312,0
2318313,0
2318314,0
2318315,0
2318316,0
2318317,0
2318318,0
2318319,0
2318320,0
2318321,0
2318322,0
2318323,0
2318324,0
2318325,0
2318326,0
2318327,0
2318328,0
2318329,0
2318330,0
2318331,0
2318332,0
2318333,0
2318334,0
2318335,0
2318336,0
2318337,0
2318338,0
2318339,0
2318340,0
2318341,0
2318342,0
2318343,0
2318344,0
2318345,0
2318346,0
2318347,0
2318348,0
2318349,0
2320368,0
2320369,0
2320370,0
2320371,0
2320372,0
2320373,0
2320374,0
2320375,0
2320376,0
2320377,0
2320378,0
2320379,0
2320380,0
2320381,0
2320382,0
2320383,0
2320384,0
2320385,0
2320386,0
2320387,0
2320388,0
2320389,0
2320390,0.7709202766418457
2320391,0
2320392,0
2320393,0
2320394,0
2320395,0
2320396,0.32738304138183594
2320397,0.32738304138183594
2320398,0.32738304138183594
2320399,0.32738304138183594
2320400,0.32738304138183594
2320401,0.32738304138183594
2320402,0.32738304138183594
2320403,0.32738304138183594
2320404,0.32738304138183594
2320405,0
2320406,0
2320407,0
2320408,0
2320409,0
2320410,0
2320411,0
2320412,0
