registry_id,stat_land_combined,geo_id_revised,Stone_Unique_ID_revised,note,uncertainty_class
110000506079,F2,0410030000130,144771,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000506079,F2,0410030000786,145438,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000599291,F2,1174070010001,1273136,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000599291,F2,1174070010002,1286674,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000599479,F2,02311016000,1891586,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000619723,F2,1273710010001,608746,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000702151,F2,1005150000600,114302,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000756717,F2,0410020050128,310721,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000756717,F2,9700000000219,260528,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000769730,F2,1021310000002,1196101,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000769767,F2,1181900000001,881343,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000823725,F2,1362070010001,362072,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000824305,F2,0140-00-00480,1770409,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000824671,F2,0401980000006,387625,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000824671,F2,0401980000101,338770,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000824671,F2,0401980000102,370259,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000824671,F2,0401980000123,378813,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000824779,F2,1021310000003,1186165,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000825420,F2,1146810000002,1248692,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000874117,F2,0402640040007,242050,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000913343,F2,0402460000044,240711,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110000913343,F2,0402460000141,275785,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001132471,F2,0361210000031,615148,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001145528,F2,1005150000471,84581,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001145528,F2,1005150000559,109671,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001148856,F2,1005150000058,107248,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001867524,F2,0371780000072,228549,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001867551,F2,0281810000084,393455,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001867668,F2,0410700000070,208145,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001867784,F2,0402400050051,119081,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001867846,F2,1005150000095,87798,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001867846,F2,1005150000470,84217,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001867846,F2,1005150000591,115265,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
110001867846,F2,1005150000696,74768,Direct location match with industrial parcel. Highest confidence of petrochemical interest.,1
